 traceroute to google.com (142.251.36.46), 30 hops max, 40 byte packets
 1  172.255.250.1 (172.255.250.1)  1.831 ms *  3.688 ms
 2  se-lu01-s1.servers.com (188.42.192.12)  0.868 ms  1.657 ms  1.663 ms
 3  188.42.192.216 (188.42.192.216)  0.827 ms  0.839 ms  0.839 ms
 4  ae61-101.edge6.Dusseldorf1.Level3.net (62.67.22.45)  17.025 ms  17.033 ms  17.032 ms
 5  ae2-3221.edge8.Frankfurt1.level3.net (4.69.158.190)  11.614 ms  11.586 ms  11.610 ms
 6  142.250.165.106 (142.250.165.106)  24.550 ms  23.883 ms  23.881 ms
 7  142.250.239.67 (142.250.239.67)  11.841 ms  11.844 ms  11.769 ms
 8  108.170.251.144 (108.170.251.144)  12.007 ms  11.758 ms  11.935 ms
 9  192.178.73.111 (192.178.73.111)  13.792 ms  13.802 ms  13.808 ms
10  142.251.237.184 (142.251.237.184)  15.254 ms  15.419 ms  15.123 ms
11  142.251.237.175 (142.251.237.175)  14.864 ms  14.899 ms  14.845 ms
12  108.170.241.225 (108.170.241.225)  15.328 ms  15.327 ms  15.507 ms
13  142.251.66.241 (142.251.66.241)  14.381 ms  14.381 ms  14.388 ms
14  ams17s12-in-f14.1e100.net (142.251.36.46)  14.382 ms  14.397 ms  14.383 ms
